Unnamed: 0,0000000000,Student ID,Session 22/09/2022,Session 29/09/2022,Session 06/10/2022,Session 13/10/2022,Session 20/10/2022,Session 27/10/2022,Session 03/11/2022,Session 10/11/2022,Session 17/11/2022,Session 24/11/2022,Session 01/12/2022,Session 08/12/2022,Session 15/12/2022,Session 22/12/2022,Session 29/12/2022,Session 05/01/2023,Session 12/01/2023,Session 19/01/2023,Session 26/01/2023,Session 02/02/2023,Session 09/02/2023,Session 16/02/2023,Session 23/02/2023,Session 02/03/2023,Session 09/03/2023,Session 16/03/2023,Session 23/03/2023,Session 30/03/2023,Session 06/04/2023,Session 13/04/2023,Session 20/04/2023,Session 27/04/2023,Session 04/05/2023,Session 11/05/2023,Session 18/05/2023,Session 25/05/2023,Session 01/06/2023,Session 08/06/2023,Session 15/06/2023,Session 22/06/2023,Session 29/06/2023,Session 06/07/2023,Session 13/07/2023,Session 20/07/2023,Session 27/07/2023,Session 03/08/2023,Session 10/08/2023,Session 17/08/2023,Session 24/08/2023,Session 31/08/2023,Session 07/09/2023,Session 14/09/2023,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
85,85,023254120F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,13.7,14,,,,,,,,10.9,,,,,,,14,,,,,15.3,,,,,,,,,,11.5,,
86,86,023180873E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,,10,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,11.3,,
87,87,023216914D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,P,A,A,A,A,A,2,14.285714285714285,,5.7,12.5,,,,,,,,9.5,,,,,,,7,,,,,8.8,,,,,,,,,,13.5,,
88,88,0230444500,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,P,A,A,A,A,A,A,A,A,A,A,4,28.57142857142857,,7.1,6.5,,,,,,,,8.2,,,,,,,8,,,,,3.3,,,,,,,,,,3.3,,
89,89,0232302333,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,A,A,A,P,A,A,A,A,A,A,3,21.428571428571427,,,14,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,16.4,,
90,90,023244390C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,ABS_EXAM,7.5,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,10,,,,,,,,,,ABS_EXAM,,
91,91,0232348219,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,ABS_EXAM,ABS_EXAM,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,1.8,,,,,,,,,,ABS_EXAM,,
92,92,0231954844,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,P,A,A,A,A,A,A,A,A,2,14.285714285714285,,ABS_EXAM,ABS_EXAM,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
94,94,0230360925,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,ABS_EXAM,4,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
95,95,023246642B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,0,,,,,,,,,ABS_EXAM,,,,,,,0,,,,,0,,,,,,,,,,0,,
96,96,023251854F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,8.7,5,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,15.6,,
97,97,0232528350,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,ABS_EXAM,ABS_EXAM,ABS_EXAM,,15.5,,,,,,ABS_EXAM,ABS_EXAM,,ABS_EXAM,,,,ABS_EXAM,,,,,,18,,16,,,,,,,ABS_EXAM,,
